Pos,Team,No,Driver,BestLap,UltimateLap,S1,S2,S3,SpeedTrap,StrengthSector
1,McLaren,81,PIA,95.14,95.14,30.548,41.215,23.377,302.0,S2
2,Mercedes,63,RUS,95.518,95.518,30.752,41.505,23.261,315.0,S3
3,McLaren,4,NOR,95.728,95.499,30.584,41.467,23.448,330.0,S3
4,Ferrari,16,LEC,96.132,95.752,30.795,41.388,23.569,327.0,S2
6,Red Bull,1,VER,96.167,95.694,30.521,41.508,23.665,331.0,S1
5,Ferrari,44,HAM,96.235,95.591,30.457,41.458,23.676,336.0,S1
7,Alpine,10,GAS,96.531,96.115,30.718,41.745,23.652,329.0,
14,Alpine,7,DOO,96.682,96.434,30.894,41.745,23.795,325.0,
11,Mercedes,12,ANT,96.69,96.143,30.526,42.012,23.605,340.0,S1
16,RB,6,HAD,96.952,96.457,30.666,42.065,23.726,333.0,
20,Williams,55,SAI,96.954,96.27,30.549,41.807,23.914,327.0,
8,Haas,31,OCO,97.098,96.295,30.923,41.581,23.791,323.0,
12,Williams,23,ALB,97.141,96.722,30.593,42.371,23.758,338.0,
9,RB,22,TSU,97.225,96.808,30.625,42.239,23.944,328.0,
10,Haas,87,BEA,97.303,96.101,30.639,41.723,23.739,336.0,
15,Sauber,27,HUL,97.338,96.774,30.852,42.098,23.824,335.0,
13,Red Bull,30,LAW,97.38,97.127,30.814,42.352,23.961,337.0,
17,Aston Martin,14,ALO,97.906,97.324,30.905,42.411,24.008,331.0,
19,Sauber,5,BOR,98.006,97.818,30.947,42.69,24.181,337.0,
18,Aston Martin,18,STR,98.064,97.096,30.85,42.093,24.153,329.0,
